id,year,type
1395,1758,Balance of Power
1396,1758,Balance of Power
1397,1758,Balance of Power
1398,1758,Balance of Power
1399,1758,Balance of Power
1400,1758,Balance of Power
1401,1758,Balance of Power
1402,1758,Balance of Power
1403,1759,Balance of Power
1404,1759,Balance of Power
1405,1759,Balance of Power
1406,1759,Balance of Power
1407,1759,Balance of Power
1408,1759,Balance of Power
1409,1759,Balance of Power
1410,1759,Balance of Power
1411,1759,Balance of Power
1412,1759,Balance of Power
1413,1759,Balance of Power
1414,1759,Balance of Power
1415,1759,Balance of Power
1416,1759,Balance of Power
1417,1759,Balance of Power
1418,1759,Balance of Power
1419,1759,Balance of Power
1420,1759,Balance of Power
1421,1760,Balance of Power
1422,1760,Balance of Power
1423,1760,Balance of Power
1424,1760,Balance of Power
1425,1760,Balance of Power
1426,1760,Balance of Power
1427,1760,Balance of Power
1428,1760,Balance of Power
1429,1760,Balance of Power
1430,1760,Balance of Power
1431,1760,Balance of Power
1432,1760,Balance of Power
1433,1760,Balance of Power
1434,1760,Balance of Power
1435,1760,Balance of Power
1436,1760,Balance of Power
1437,1760,Balance of Power
1438,1760,Balance of Power
1439,1761,Balance of Power
1440,1761,Balance of Power
1441,1761,Balance of Power
1442,1761,Balance of Power
1443,1761,Balance of Power
1444,1761,Balance of Power
1445,1761,Balance of Power
1446,1761,Balance of Power
1447,1761,Balance of Power
1448,1761,Balance of Power
1449,1761,Balance of Power
1450,1761,Balance of Power
1451,1761,Balance of Power
1452,1761,Balance of Power
1453,1761,Balance of Power
1454,1761,Balance of Power
1455,1761,Balance of Power
1456,1761,Balance of Power
1457,1762,Balance of Power
1458,1762,Balance of Power
1459,1762,Balance of Power
1460,1762,Balance of Power
1461,1762,Balance of Power
1462,1762,Balance of Power
1463,1762,Balance of Power
1464,1762,Balance of Power
1465,1762,Balance of Power
1466,1762,Balance of Power
1467,1762,Balance of Power
1468,1762,Balance of Power
1469,1762,Balance of Power
1470,1762,Balance of Power
1471,1762,Balance of Power
1472,1762,Balance of Power
1473,1762,Balance of Power
1474,1762,Balance of Power
1475,1762,Balance of Power
1476,1762,Balance of Power
1477,1762,Balance of Power
1478,1762,Balance of Power
1479,1763,Balance of Power
1480,1763,Balance of Power
1481,1763,Balance of Power
1482,1763,Balance of Power
1483,1763,Balance of Power
1484,1763,Balance of Power
1485,1763,Balance of Power
1486,1763,Balance of Power
1487,1763,Balance of Power
1488,1763,Balance of Power
1489,1763,Balance of Power
1490,1763,Balance of Power
1491,1763,Balance of Power
1492,1763,Balance of Power
1493,1763,Balance of Power
1494,1763,Balance of Power
1495,1763,Balance of Power
1496,1763,Balance of Power
1497,1512,Other
1498,1512,Other
1499,1615,Balance of Power
1500,1616,Balance of Power
1501,1617,Balance of Power
1502,1618,Defensive
1503,1618,Defensive
1504,1617,Balance of Power
1505,1617,Balance of Power
1506,1618,Balance of Power
1507,1618,Balance of Power
1508,1619,Balance of Power
1509,1619,Balance of Power
1510,1620,Balance of Power
1511,1620,Balance of Power
1512,1621,Balance of Power
1513,1621,Balance of Power
1514,1641,Balance of Power
1515,1642,Balance of Power
1516,1643,Balance of Power
1517,1644,Balance of Power
1518,1645,Balance of Power
1519,1646,Balance of Power
1520,1647,Balance of Power
1521,1648,Balance of Power
1522,1649,Balance of Power
1523,1650,Balance of Power
1524,1651,Balance of Power
1525,1652,Balance of Power
1526,1653,Balance of Power
1527,1654,Balance of Power
1528,1655,Balance of Power
1529,1656,Balance of Power
1530,1657,Balance of Power
1531,1658,Balance of Power
1532,1659,Balance of Power
1533,1660,Balance of Power
1534,1661,Balance of Power
1535,1662,Balance of Power
1536,1663,Balance of Power
1537,1664,Balance of Power
1538,1665,Balance of Power
1539,1666,Balance of Power
1540,1667,Balance of Power
1541,1668,Balance of Power
1542,1826,Balance of Power
1543,1826,Balance of Power
1544,1827,Balance of Power
1545,1827,Balance of Power
1546,1720,Balance of Power
1547,1721,Balance of Power
1548,1721,Balance of Power
1549,1672,Balance of Power
1550,1672,Balance of Power
1551,1672,Balance of Power
1552,1672,Balance of Power
1553,1673,Balance of Power
1554,1673,Balance of Power
1555,1673,Balance of Power
