id,name,year_birth,year_death,family,title
6101,Bouchard de Montmorency,1087.0,1124.0,Montmorency,
6102,Richard FitzGilbert de Clare,1035.0,1090.0,Clare,
6103,Walter de Clare,,1137.0,Clare,Lord of Nether Gwent
6104,Mouirchertach O'Toole,,1164.0,O'Toole,King Ui Muiredaig
6105,Murtough O'Toole,,,O'Toole,Lord of Omurethy
6106,Laurence (St.) O'Toole,,,O'Toole,Archbishop of Dublin
6107,Mor ingen MuirchertaigO'Toole,,,MuirchertaigO'Toole,
6108,John FitzGilbert Marshal,,1165.0,Marshal,The Marshal
6109,Aline Pipard,,,Pipard,
6110,Sibyl de Salisbury,,,Salisbury,
6111,Gilbert FitzJohn Marshal,,1166.0,Marshal,The Marshal
6112,Walter Marshall,,,Marshall,
6113,John Marshal,1144.0,1194.0,Marshal,Master Marshal
6114,Adam de Port,,,Port,Lord of Basing
6115,Mabel de Orval,,,Orval,
6116,Joan de Port,,1213.0,Port,
6117,Richard de Rivers,,,Rivers,
6118,Gilbert Marshal,,1130.0,Marshal,The Marshal
6119,Stephen Gay,,,Gay,
6120,Edward de Salisbury,1060.0,,Salisbury,Sheriff of Wiltshire
6121,Ernulf de Hesdin,,,Hesdin,
6122,Maud de Hesdin,,,Hesdin,
6123,Patrick de Chaworth,,,Chaworth,
6124,Maud (Sibyl) de Chaworth,,1147.0,Chaworth,
6125,William de Salisbury,,1143.0,Salisbury,
6126,Walter de Salisbury,,,Salisbury,Canon of Bradenstoke
6127,Maud de Salisbury,,,Salisbury,
6128,Humphrey de Bohun,,,Bohun,
6129,Maud,,,Maud,
6130,William de Ferrers,,1254.0,Ferrers,Earl of Derby 5th
6131,Sibyl Marshal,,,Marshal,
6132,Richard Marshal,1190.0,1234.0,Marshal,Earl of Pembroke 6
6133,Walter Marshal,1198.0,1244.0,Marshal,Earl of Pembroke 8
6134,Anselm Marshall,,1245.0,Marshall,Earl of Pembroke 9
6135,Alice de B\x88thune,,1216.0,B\x88thune,
6136,Alan de Dinan,,,Dinan,Lord Dinan
6137,Gervaise de Dinan,,1236.0,Dinan,
6138,Clemence de Foug\x8Ares,,,Foug\x8Ares,
6139,Juhel de Mayenne,,,Mayenne,Lord of Mayenne
6140,Geoffreyof,,,of,Vicomte of Rohan
6141,Two Daughters,,,Daughters,
6142,Isabel Marshal,,,Marshal,
6143,Maelgon Fychan,,,Fychan,Lord of Cardigan Is Ayron
6144,Rhys ap Maeldon Fychan,,,Fychan,
6145,Hawise de Keveliock,,,Keveliock,Countess of Lincoln
6146,Robert de Quincy,,,Quincy,
6147,Margaret de Quincy,,,Quincy,
6148,John de Lacy,,1240.0,Lacy,Earl of Lincoln
6149,Richard de Wiltshire,,,Wiltshire,
6150,Ralph de Lusignan,,1219.0,Lusignan,Count of Eu
6151,Maud de Lusignan,,1241.0,Lusignan,
6152,Humphrey de Bohun,,1275.0,Bohun,Earl of Hereford6 & Essex
6153,Maud de Bohun,,,Bohun,
6154,Roger de Quincy,,,Quincy,Earl of Winchester 2
6155,Margaret de Valence,,,Valence,
6156,Robert de Dreux,,,Dreux,Lord of Beu
6157,Alice de Dreux,,,Dreux,Vicomtesse de Ch\x83teaudun
6158,Ralph de Clermont,,,Clermont,Lord of N\x82elle and Brios
6159,Elizabeth Hastings,,,Hastings,
6160,Thomas de Leybourne,,1307.0,Leybourne,Sir
6161,Thomas de Blount,,,Blount,Sir
6162,William de Clinton,1304.0,1354.0,Clinton,Earl of Huntingdon 1st
6163,Agnes de Mortimer,,1368.0,Mortimer,
6164,Piers de Geneville,,1292.0,Geneville,
6165,Joan de Geneville,,1356.0,Geneville,
6166,Katherine Clivedon,,1385.0,Clivedon,
6167,John de Hakelut,,,Hakelut,
6168,Thomas de Mauny,,1371.0,Mauny,
6169,Muirchertach II MacToirdelbaigO'Brien,,1119.0,MacToirdelbaigO'Brien,King of Ireland & Munster
6170,Blathmin O'Brien,1095.0,,O'Brien,
6171,Sumarlidi Sigurdson,,1015.0,Sigurdson,Earl of Orkney
6172,Brusi Sigurdson,,1020.0,Sigurdson,Earl of Orkney
6173,Einar Wry-Mouth Sigurdson,,1020.0,Sigurdson,Earl of Orkney
6174,Ragnvald Wolfs-Son Brusisson,1011.0,1046.0,Brusisson,Earl of Orkney
6175,Paul I of OrkneyThorfinnson,,1099.0,OrkneyThorfinnson,Earl of Orkney
6176,Erlend II Thorfinnsson,,1098.0,Thorfinnsson,Earl of Orkney
6177,Hakon Paulsson,,1126.0,Paulsson,Earl of Orkney
6178,Paul the silentHakonsson,,1137.0,silentHakonsson,Earl of Orkney
6179,Harald Smooth-spoken Hakonsson,,1131.0,Hakonsson,Earl of Orkney
6180,Margaret Hakonsdottir,,,Hakonsdottir,Countess of Orkney
6181,Erlend III Haraldson,,1156.0,Haraldson,Earl of Orkney
6182,Harald II Maddadarson,1130.0,1206.0,Maddadarson,Earl of Orkney
6183,Magnus (St.) Erlendson,,1117.0,Erlendson,Earl of Norway
6184,Gunnhild Erlenddottir,,,Erlenddottir,
6185,Rognvald III Kali,1100.0,1158.0,Kali,Earl of Orkney
6186,Ingirid Rognvaldsdottir,,,Rognvaldsdottir,
6187,Harald III the YoungEricsson,1155.0,1198.0,YoungEricsson,Earl of Orkney
6188,Eystein the NoisyGlumra,,,NoisyGlumra,Jarl of the Uplanders
6189,Ragnvald I the wise of MoreEysteinsson,,,MoreEysteinsson,
6190,Sigurd I Riki the PowerfulEysteinsson,,,PowerfulEysteinsson,Earl of Orkney
6191,Guthorm Sigurdsson,,,Sigurdsson,Earl of Orkney
6192,Turf-Einar Rognvaldsson,,,Rognvaldsson,Earl of Orkney
6193,Hallad Rognvaldsson,,,Rognvaldsson,Earl of orkney
6194,Arnkel Einarsson,,,Einarsson,Earl of Norway
6195,Erlend Einarsson,,,Einarsson,Earl of Orkney
6196,Thorfinn Skull-Splitter Einarsson,,,Einarsson,Earl of Orkney
6197,Arnfinn Thorfinnson,,,Thorfinnson,Earl of Orkney
6198,Havard Season-Prosperous Thorfinnson,,,Thorfinnson,Earl of Orkney
6199,Hlodvir Thorfinnsson,,,Thorfinnsson,Earl of Orkney
6200,Ljot Thorfinnson,,,Thorfinnson,Earl of Orkney
6201,Skuli Thorfinnson,,,Thorfinnson,Earl of Orkney
6202,Hakon Ivarson,,,Ivarson,Earl
6203,Daughter Hakondottir,,,Hakondottir,
6204,Thora Pauldottir,,,Pauldottir,
6205,Brynjolf Paulson,,,Paulson,
6206,Ingirid Pauldottir,,,Pauldottir,
6207,Herbjorg Pauldottir,,,Pauldottir,
6208,Brynjolf Camel,,,Camel,Manor of Vettland
6209,Halldor the ElderBrynjolfson,,,ElderBrynjolfson,
6210,Brynjolf Camel the YoungerHalldorson,,,YoungerHalldorson,
6211,Halldor the YoungerBrynjolfson,,,YoungerBrynjolfson,
6212,Gudrid (Sigrid) Dagsdottir,,,Dagsdottir,
6213,Einar Vorse-Raven,,,Vorse-Raven,
6214,Sigurdof,,,of,
6215,Ingibjorgthe,,,the,
6216,Hakon Pike-Staff Sigurdson,,,Sigurdson,
6217,Brynjolf Sigurdson,,,Sigurdson,
6218,Sigrid,,,Sigrid,
6219,Hakonthe,,,the,
6220,Herborg,,,Herborg,
6221,Kolbein Heap,,,Heap,
6222,Ragnhild Pauldottir,,,Pauldottir,
6223,Benedikt,,,Benedikt,
6224,Ingibjorg Benediktdottir,,,Benediktdottir,
6225,Erlingthe,,,the,
6226,Bergljot,,,Bergljot,
6227,Havard Gunnason,,,Gunnason,
